TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
UCF,Amer,29,11,101,109.4,0.2852,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,47.6,50.3,34.5,35.6,64.6,-11.2,,0,2015
"UMass Lowell",AE,28,11,91.6,107.2,0.1412,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,64.1,-11.8,,0,2015
UMBC,AE,30,4,87,108.6,0.0727,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,-20.7,,0,2015
UMKC,WAC,31,12,96.5,107.2,0.2305,46.1,51.6,20,23.6,31.7,36.5,40.3,39.8,43.7,52.2,33.4,33.6,64.1,-14.1,,0,2015
"UNC Asheville",BSth,28,12,100.3,107.4,0.3131,49.9,49.7,20.8,18.3,31.6,32.2,35.4,43.3,48.2,49,35.2,33.9,68.4,-11.6,,0,2015
"UNC Greensboro",SC,30,8,98.8,106.2,0.3019,49.7,50.8,18.8,18.2,30.6,29.7,31.3,48.5,47.6,49.7,36.1,35.2,66.1,-17.2,,0,2015
"UNC Wilmington",CAA,31,17,100.5,99.7,0.5208,47.5,47.9,18,20.4,31,32.4,37.5,47.4,46.3,46.9,34,33.5,67.9,-6.8,,0,2015
UNLV,MWC,32,17,106.5,99.4,0.6903,50.2,45.3,17.3,16.2,26.7,32.4,32.7,29.9,48,42,36.1,35.1,65.7,-5.5,,0,2015
USC,P12,32,12,99,97.8,0.5356,46.8,48,20,19.1,31.5,34.3,33.8,31.2,45.8,47.2,32.9,32.9,68.6,-8.9,,0,2015
"USC Upstate",ASun,32,20,102,103.1,0.4677,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,49.2,46.6,33.2,31.9,63.6,-6.8,,0,2015
"UT Arlington",SB,30,15,101.3,103.7,0.4315,49.4,47.8,20.8,19.6,31.8,32.8,38.1,42.2,50.8,47.8,31.3,31.8,70.1,-9,,0,2015
"UT Rio Grande Valley",WAC,28,7,91.5,111.2,0.0959,44.7,50.5,20.9,19,30.4,36.6,38.6,35.4,45.6,50.1,28.2,34.1,64.4,-16.3,,0,2015
"Utah St.",MWC,30,17,105.8,101.6,0.6138,52.4,45.8,16.3,17,21.7,34,36.4,29.1,48.5,46.3,39.4,29.9,64.1,-6.1,,0,2015
"Utah Valley",WAC,28,9,91.1,106.5,0.1431,44.5,49.9,20.3,17.8,28.5,30.4,33.3,37,44.4,49.1,29.8,34.3,62.4,-14.4,,0,2015
UTEP,CUSA,33,22,104.7,97.8,0.6851,52,46.9,18.8,18.7,29.1,29.8,43.8,31.9,50.9,45.2,36.6,33.6,65,-3.7,,0,2015
UTSA,CUSA,28,12,104.2,108.7,0.3809,47.9,52.9,18.2,20.3,35.2,31.3,42.1,29.7,47.3,51.5,32.7,36.7,66.2,-11.3,,0,2015
Vanderbilt,SEC,34,20,114.1,99.2,0.8325,54.4,46.6,20,18.1,31.9,33.1,42.4,34.4,51.5,44.5,39.6,34,63.6,-2.5,,0,2015
Vermont,AE,33,19,100.7,97.6,0.5879,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.7,-9,,0,2015
"Virginia Tech",ACC,33,11,105.5,104.8,0.5204,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.2,-8.9,,0,2015
VMI,SC,28,9,96.8,106.9,0.2431,46.9,53.2,19.6,20.5,31.9,33.9,29.8,42.3,46.7,53.9,31.4,34.1,77.3,-14.1,,0,2015
Wagner,NEC,29,9,96.1,110.1,0.1737,44.6,53.4,20.1,19.8,37.2,30.3,33.9,53.3,44,51.7,30.6,37.7,67.6,-15.4,,0,2015
"Wake Forest",ACC,32,13,104.8,98.1,0.6826,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,-5.7,,0,2015
Washington,P12,31,16,107.1,102,0.6355,49.3,47.1,17.5,16.8,31.4,33.2,33.9,31.7,48.9,46,33.4,33,66,-4.6,,0,2015
"Washington St.",P12,31,13,107.4,107.4,0.502,49.6,52.4,17.3,14.1,26.4,30.3,39.7,34.1,48.7,50.8,34.2,37.4,67.8,-6.8,,0,2015
"Weber St.",BSky,28,11,98.1,105.2,0.3086,48,50.8,20.5,16.6,28.8,30.2,46,31.5,45,49.6,34.9,35.9,63.2,-11.9,,0,2015
"Western Carolina",SC,30,13,100.5,104.7,0.3856,48.8,50.1,20.1,20.7,34.7,33.9,34.6,52.5,47.2,48.6,34.8,34.9,66.2,-11.2,,0,2015
"Western Illinois",Sum,26,6,89.4,106.8,0.1153,45.3,50.7,18.3,16.7,20,28.9,30.3,37.1,41.2,49.4,35.2,35.5,67,-15.4,,0,2015
"Western Kentucky",CUSA,30,18,101.6,102,0.4873,49.6,48.6,18.9,18.9,30.4,29.2,38.7,34.1,47.2,48.1,35.6,33.1,66.8,-5.5,,0,2015
"Western Michigan",MAC,32,18,105.7,105.2,0.513,51.3,51.9,18.1,18.9,29.8,30.4,42.7,36.7,49.9,51.1,35.9,35.4,65.4,-6,,0,2015
"William & Mary",CAA,31,18,111.2,106.9,0.6105,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,64.4,-5.5,,0,2015
Winthrop,BSth,29,16,103.1,103.8,0.4796,50.8,47,17.7,19,29.4,32.3,35.9,38.4,49.2,45.9,35.5,32.7,66.2,-8.9,,0,2015
"Wright St.",Horz,29,9,96.5,103.6,0.3053,49.8,51.2,19,19.8,23.2,30.8,31.5,41.2,49,50.4,34.1,35.3,63.7,-13.7,,0,2015
Yale,Ivy,30,20,104.2,97.2,0.6892,49.9,47.6,20.4,19,34.2,27.8,40.9,33.1,47.3,48.1,36.5,31,62.5,-3,,0,2015
"Youngstown St.",Horz,29,8,103.4,112,0.285,50.1,53.6,17.2,17.8,27.6,34.2,35.9,36.8,48.5,51.7,35.6,37.9,67.6,-14.7,,0,2015
Arkansas,SEC,36,27,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,R32,5,2015
Butler,BE,34,23,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,R32,6,2015
Cincinnati,Amer,34,23,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,R32,8,2015
Dayton,A10,36,27,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,R32,11,2015
Georgetown,BE,33,22,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,R32,4,2015
"Georgia St.",SB,34,24,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3,R32,14,2015
Iowa,B10,34,22,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,R32,7,2015
Kansas,B12,36,27,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,R32,2,2015
Maryland,B10,35,28,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,R32,4,2015
"Northern Iowa",MVC,35,31,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,R32,5,2015
"Ohio St.",B10,35,24,113.9,93.1,0.9104,54.2,46.4,17,21.6,33.5,32,34.7,27.8,53.6,45.2,37,32.2,66.3,2.5,R32,10,2015
